[04:30-04:31] 大家好，我是余华。
[04:44-04:47] 我看看我这里面有没有写莫言的一篇。
[06:05-06:07] 这个是我已经毕业以后拍的。
[09:16-09:18] 我想听听莫言的第三个版本。
[11:59-12:05] 他的话你们不要太相信。今后不会再改，一个月以后就改了。
[12:06-14:35] 其实是这样的。当时我们去都灵之前，也没有事前商量，大家都拿到一个题目，就是“我为什么写作”。人家要我们事前写完，翻译完了以后，我们在上面念稿子的时候，他们下面翻译就比较顺。所以我们都是自己写的。我的那个流传比较广的版本，就是不愿意做牙医，想去文化馆上班，因为文化馆自由散漫，可以上班迟到，也可以不去。那个时代可以，现在不可能了。你刚才说的是那个瞬间。我的感觉是，那个瞬间的来到，其实前面已经有很多铺垫了。如果没有那种铺垫，可能那个瞬间来了以后，你也就让它过去了，不会抓住它。莫言说的是读了很多很多作品。有些作品你读完以后，感觉真是写得很好。但是当我们都很年轻、还没有开始写作的时候，可能有一两篇，或者一两部作品，突然激发了自己想写的愿望。它可能会让你感觉到：我也能写作。然后我就激动起来，就开始写作。但它肯定是有一个铺垫。莫言刚才说，书读得越多，肯定就越想写；但另一个方面，有时候书读得少也可能想写。我们在那个特殊年代，拿到一份外国小说，都是没头没尾的，前面少了十多页，后面又少了十多页。故事怎么开始可以忽略，但是故事怎么结尾你不知道，就很难受。所以我印象中每次读完一个小说以后，就自己去想不同的故事结尾版本，想一个又一个。故事后面少了十多页，你不知道故事怎么结束，人物命运是什么样的，只能靠自己的想象去填补。我觉得我还是少年的时候，这种训练也是有很大帮助的。所以书多书少，都会给我们带来一样的机会，就是突然想写了，那个瞬间就这样来到了。
[15:10-15:16] 我已经忘了自己这个结尾了。你一读，我还有点感动。
[19:16-20:42] 我的奥德赛时期要比莫言短，确实要比莫言短。因为莫言从放牛，到去棉花厂，又当兵，他的奥德赛时期也比我丰富。我的奥德赛时期也就是做牙医那五年。这五年里边，后面的一两年我已经开始写小说了，而且也发表了。但是并不是说，当我们开始发表作品以后，甚至当我们成功以后，我们就没有奥德赛时期了。我觉得奥德赛时期是一个人的一生的时期。就像莫言所说的，我们并不是说没有焦虑了，就没有迷茫了。我们在写作中仍然会面对一些困惑，总是想跟自己写作的昨天告别，想去写新的东西。新的东西又面临一个新的时代的来临。所以我觉得这个很正常，这不是一个过渡时期，这将是伴随我们一生的一个时期。无论焦虑也好，迷茫也好，它往往是一种情绪。当这种情绪过去以后，另一种新的情绪又来临了，可能你感觉到还是焦虑、还是迷茫，但面对的事物不一样了。所以你要做出调整，如何调整焦虑和迷茫很重要。
[20:42-21:49] 我突然想起来了，《写作课》里边收的关于莫言《欢乐》的那篇文章。我想跟你们说，莫言是在《红高粱》之后，已经如日中天了，在我们文学界、读者中间也一样。当年《欢乐》发表的时候，可以说是整个文坛的围攻和批评，大家都很难接受，都接受不了这样的小说。因为它太挑战他们的传统观念。所以他们对母亲的认知，跟我们不一样。不是说一个人成功以后就没有挫折了，一样有。迷茫也好，焦虑也好，我们现在依然会有迷茫、会有焦虑的时候。面对到来的时代，是吧。所以莫言刚才有一句话说得很对，生活是包罗万象的，各种各样的生活我们都要去学习，这就是人生，摆脱不了的人生。
[27:34-28:13] 这个我肯定同意。我觉得莫言说得非常对的一点，就是在 AI 面前，原创越强大的人，肯定存活的几率越大。我也看有人头头是道地讲解世界名著，讲得特别好，我都跟着看。这是特别省事的一种方式，了解我没读过的长篇小说的主要内容和思想。但是也说是 AI 生成的。这个当然有一定积极作用，但大部分这种心灵鸡汤一类的东西，确实是有害无益。
[29:24-30:00] 我看的不是几分钟讲一本，是电影。大概2020年开始，我就一直在看那个，一晚上看七八部电影，都是十来分钟一部电影就讲完了。但后来影响我观影体验了。当我在看一部电影的时候，会有一种感觉：这部电影好像看过，好像又没看过。故事情节是知道的，但是电影里面那些最精华的部分忽略了，他给你讲的只是一个梗概。其实小说也好，电影也好。
